,x,y
finnish dance pop,4361,772
okc indie,8773,409
czech rock,8920,589
rock tico,5114,488
phoenix indie,6230,453
rome indie,7268,596
sefardi,12950,581
german dance,1480,922
lds youth,9664,567
newcastle indie,8391,399
irish electronic,1518,1084
acid idm,2244,938
argentine ambient,11901,397
musica andina,12666,627
czech electronic,1870,1055
indian electronic,2765,1014
musica prehispanica,9775,810
experimental percussion,12025,574
birdsong,13325,280
indian techno,633,1286
rare groove,8441,945
san antonio rap,5478,1080
chinese indie rock,5921,469
japanese garage rock,8162,319
swedish post-punk,6144,480
tunisian pop,5639,790
vancouver indie,8261,473
japanese trap,3854,945
japanese jazz fusion,7729,748
cornetas y tambores,14121,556
hamburger schule,6034,635
canterbury scene,11124,471
baroque pop,10690,567
electric blues,11926,896
future house,1795,886
arab folk,14536,577
quiet storm,8050,838
virginia hip hop,6025,1073
gospel r&b,7436,684
italo house,1321,1100
funk mexicano,3304,914
crust punk,8260,236
egyptian alternative,7219,736
indie emo rock,8028,427
psybreaks,1027,1093
arab groove,8663,853
belarusian pop,4235,765
new wave pop,4427,696
montenegrin pop,4759,812
europop,2280,788
alternative r&b,6826,874
piano mpb,13623,797
modern blues,9762,753
spanish synthpop,1709,853
denver indie,8539,486
dutch blues,9627,589
j-dance,2257,776
ambient worship,10505,284
boston rock,9155,417
velha guarda,12741,830
gospel blues,15331,1010
southampton indie,9996,496
australian jazz,13694,792
sarangi,13303,488
tanzanian traditional,12668,814
brazilian bass,939,1281
new jack swing,3813,947
funk,8687,896
gospel reggae,5045,984
english baroque,15552,409
musica etnica,9812,660
gotico brasileiro,3216,439
italo dance,1076,1018
traprun,2888,748
uk beatdown,8052,359
pop,3656,797
rochester ny indie,8895,476
polyphonies corses,13347,351
classic iskelma,11126,723
musica feirense,6580,955
latin worship,6563,516
australian rockabilly,9303,673
pittsburgh indie,9327,467
naat,12422,760
brazilian psychedelic,9922,721
danish jazz,12962,748
indie catala,8613,586
irish rebel song,12074,598
nova canco,13437,767
moravian folk,15432,478
background music,14910,187
czech metal,4943,284
acoustic opm,11087,653
hard alternative,3316,282
latin american heavy psych,9353,226
portland metal,8335,158
dembow,3678,1225
lesotho traditional,5515,808
porro,8469,1138
nyc metal,7484,152
south carolina metal,7802,176
brutal deathcore,5004,222
deep melodic hard rock,6096,298
kaba gaida,14571,265
cumbia,7989,1147
post-grunge,3725,326
japanese death metal,5833,173
cubaton,3964,1071
tolkien metal,6018,176
folk metal latinoamericano,7300,267
guinean pop,7307,967
singaporean electronic,1546,995
witch house,4894,563
belgian experimental,12086,482
therapy,12642,217
ghoststep,1382,1080
drill and bass,3854,830
deathgrind,8698,139
australian post-hardcore,2951,208
cathedral choir,16540,95
chinese classical,15902,353
instrumental funk,8836,974
popgaze,8465,319
deep smooth r&b,6012,908
neo soul,5736,900
urban contemporary,4359,932
classic soul,11043,819
turkish edm,1161,1161
diva house,1135,1080
punk blues,9464,431
tape club,8662,490
classic danish rock,9266,624
modern rock,5127,437
indonesian jazz,9056,786
finlandssvenska musik,7504,627
deep dance pop,2913,792
swedish contemporary classical,15584,235
judaica,12086,713
popping,2709,1152
raw techno,319,1230
reggae gaucho,4548,995
martial industrial,9327,323
oberkrainer,10433,969
christchurch indie,6342,463
candomble,12354,955
bboy,2213,1089
underground hip hop,6340,967
irish underground rap,8125,963
reggaeton cristiano,4524,1001
glam rock,8774,535
viking folk,10241,467
guam indie,8714,851
canadian post-rock,10388,319
techno kayo,5677,770
western swing,13535,1025
deep punk rock,8798,496
gaita,9166,289
indie poptimism,3612,660
swiss indie folk,11333,569
icelandic folk,11508,680
musica mato-grossense,9427,650
classical flute,15615,435
galego,10216,556
scottish jazz,13670,847
brazilian neo-psychedelic,10290,407
indonesian folk,11013,624
bolero cubano,13755,894
pipa,15615,884
jazz rap,5045,1111
electro swing,2294,1118
cartoon,8812,1175
marimba mexicana,9229,1093
memphis soul,10396,890
